region,transport_mode,shipment_volume,distance_km,transport_cost,delivery_time_days,predicted_delivery_time,delivery_risk
East,Road,103.65189474647498,1257.8639608993878,3486.7928641427256,7.688889883858406,8.569000438929566,High Risk
West,Road,36.81899801770997,600.7519725189458,1623.824688933099,3.3841447714272612,5.026986829172013,Normal
North,Road,62.087625954417966,684.497345899656,1735.6424026874397,4.279962095655387,5.360679752720336,Normal
East,Road,151.04480606283005,804.4159052913309,2974.3023529517945,7.135263053642675,6.265694393018284,Normal
East,Rail,28.688707650444936,662.2086849842871,1517.4388667285748,5.522857339440166,5.691558070463124,Normal
West,Air,120.60002073645089,1124.6142913206108,3686.5024599501926,4.533378998683017,5.94115888783214,Normal
North,Road,17.673422612543984,475.6581787143534,1110.9195664419644,4.127814240912033,3.9741430585112565,Normal
North,Road,204.15297156490342,704.490087466428,3480.9177369417416,6.487415080731313,6.251511520187517,Normal
East,Rail,61.18472584027318,442.1082360045465,1852.4755526498277,5.676071997156406,4.668661811691354,Normal
South,Road,107.90842501030053,280.39369685820236,1664.7046816907045,5.230286260766832,3.854605628883795,Normal
East,Road,91.93350261888328,478.7046545465201,2124.9920317448623,3.8530425196532856,4.159165805627007,Normal
East,Road,93.86251707136445,639.6296968264446,2056.788186098914,3.8396898969179887,5.035754278843299,Normal
East,Road,102.60094748883786,529.7953771351672,2166.6745577803085,4.111340179088804,4.487307842811264,Normal
East,Air,25.09862358241588,456.12212563532034,1810.5019002881054,2.310151994440996,1.2265925515161613,Normal
West,Rail,94.97411149678415,256.23111017188654,1635.3647712348966,2.89297815130133,4.2787304865560305,Normal
North,Rail,76.98921721844212,626.7304396639655,2372.797307370338,4.940773781901563,6.03848887562469,Normal
West,Road,61.39381589088902,228.67829527131937,1346.938899166706,3.383564380091814,3.0875202559561177,Normal
West,Road,52.21520713708354,862.8156698330887,2374.1287398867203,6.502771228910042,6.58716737666393,High Risk
West,Road,96.33618840984413,673.0831308216609,1990.9446100498571,5.734548966478011,5.714308732947009,Normal
East,Road,45.262374153269796,241.88558014981942,950.5690840304051,2.1083272933358446,2.5602962893256485,Normal
South,Road,149.58157562743543,563.4214584260383,2447.2294345584755,5.418483511891449,5.646721174029837,Normal
North,Rail,112.30772840139574,439.3962064346367,2068.3056537639245,4.001723919878558,5.147332161496462,Normal
South,Rail,99.67122374006992,739.3688629173705,2312.0285368843324,8.650723976046397,7.239771655700967,High Risk
West,Road,146.19408582524224,1025.3261248864806,3733.552550585849,8.89625803778414,8.006411194086468,High Risk
West,Air,22.289427308779498,124.95170849919157,1414.59546729236,1.0,-0.12946849336329858,Normal
South,Rail,36.00383248282546,682.2073021612769,2059.6924005453525,5.706217814648025,6.627228527932555,High Risk
South,Road,115.06455910070838,605.1628172413407,2310.9826724526547,4.212557275101188,5.709874535733505,Normal
South,Road,54.15297423277333,837.9752214061305,2251.957959495102,6.128107153333271,6.7027226154548885,High Risk
West,Road,58.528217357872144,709.695055906553,1912.9936955998003,5.645751134075584,5.740526397886277,Normal
West,Road,32.51085788766588,439.44858711313066,1411.0045562838814,2.7093422234065967,4.112148433860829,Normal
North,Road,45.34518575784654,560.6648980133469,1760.110856006882,3.727308533185475,4.616755007088081,Normal
North,Rail,151.38759889304953,427.1127600950231,2086.632414619057,4.050380337655422,5.253405930292059,Normal
West,Road,113.56985325540575,951.2819988076076,2987.726396337077,7.536085438169387,7.392814315629817,High Risk
South,Road,95.73429870826439,655.9672616281438,2224.8797559231148,5.992028087672572,5.893376731162148,Normal
South,Road,59.94963899860235,1182.333392010842,2625.548815592065,8.115230913948347,8.633465606192786,High Risk
North,Road,92.34738585597016,633.0149721319062,2031.109574666701,5.310557377787987,5.240558661939107,Normal
West,Rail,158.58031921580795,451.64610526507045,2332.8745970783016,5.010570115386467,5.68304636053679,Normal
North,Rail,54.99946647393264,226.15997006840843,1584.1758815601047,3.0630718568819257,3.693334249660921,Normal
North,Road,84.23501893209082,145.12089064833538,1325.145346426551,4.052787492267034,2.489277664269698,Normal
East,Road,210.94686193038473,206.44193595846286,2010.3483049839458,4.465728791104026,3.190467974166318,Normal
East,Road,127.1911226249083,724.7954622832153,2694.1342202184633,4.4383020601222665,5.702915996418023,Normal
East,Road,60.477142249979615,792.4430065043815,1972.9402682240534,6.328711625318459,5.712186021776574,Normal
